"Data Source","World Development Indicators",

"Last Updated Date","2024-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Population, total","SP.POP.TOTL","54608","55811","56682","57475","58178","58782","59291","59522","59471","59330","59106","58816","58855","59365","60028","60715","61193","61465","61738","62006","62267","62614","63116","63683","64174","64478","64553","64450","64332","64596","65712","67864","70192","72360","74710","77050","79417","81858","84355","86867","89101","90691","91781","92701","93540","94483","95606","96787","97996","99212","100341","101288","102112","102880","103594","104257","104874","105439","105962","106442","106585","106537","106445","106277",
"Africa Eastern and Southern","AFE","Population, total","SP.POP.TOTL","130692579","134169237","137835590","141630546","145605995","149742351","153955516","158313235","162875171","167596160","172475766","177503186","182599092","187901657","193512956","199284304","205202669","211120911","217481420","224315978","230967858","237937461","245386717","252779730","260209149","267938123","276035920","284490394","292795186","301124880","309890664","318544083","326933522","335625136","344418362","353466601","362985802","372352230","381715600","391486231","401600588","412001885","422741118","433807484","445281555","457153837","469508516","482406426","495748900","509410477","523459657","537792950","552530654","567892149","583651101","600008424","616377605","632746570","649757148","667242986","685112979","702977106","720859132","739108306",
"Afghanistan","AFG","Population, total","SP.POP.TOTL","8622466","8790140","8969047","9157465","9355514","9565147","9783147","10010030","10247780","10494489","10752971","11015857","11286753","11575305","11869879","12157386","12425267","12687301","12938862","12986369","12486631","11155195","10088289","9951449","10243686","10512221","10448442","10322758","10383460","10673168","10694796","10745167","12057433","14003760","15455555","16418912","17106595","17788819","18493132","19262847","19542982","19688632","21000256","22645130","23553551","24411191","25442944","25903301","26427199","27385307","28189672","29249157","30466479","31541209","32716210","33753499","34636207","35643418","36686784","37769499","38972230","40099462","41128771","42239854",
"Africa Western and Central","AFW","Population, total","SP.POP.TOTL","97256290","99314028","101445032","103667517","105959979","108336203","110798486","113319950","115921723","118615741","121424797","124336039","127364044","130563107","133953892","137548613","141258400","145122851","149206663","153459665","157825609","162323313","167023385","171566640","176054495","180817312","185720244","190759952","195969722","201392200","206739024","212172888","217966101","223788766","229675775","235861484","242200260","248713095","255482918","262397030","269611898","277160097","284952322","292977949","301265247","309824829","318601484","327612838","336893835","346475221","356337762","366489204","376797999","387204553","397855507","408690375","419778384","431138704","442646825","454306063","466189102","478185907","490330870","502789511",
"Angola","AGO","Population, total","SP.POP.TOTL","5357195","5441333","5521400","5599827","5673199","5736582","5787044","5827503","5868203","5928386","6029700","6177049","6364731","6578230","6802494","7032713","7266780","7511895","7771590","8043218","8330047","8631457","8947152","9276707","9617702","9970621","10332574","10694057","11060261","11439498","11828638","12228691","12632507","13038270","13462031","13912253","14383350","14871146","15366864","15870753","16394062","16941587","17516139","18124342","18771125","19450959","20162340","20909684","21691522","22507674","23364185","24259111","25188292","26147002","27128337","28127721","29154746","30208628","31273533","32353588","33428486","34503774","35588987","36684202",
"Albania","ALB","Population, total","SP.POP.TOTL","1608800","1659800","1711319","1762621","1814135","1864791","1914573","1965598","2022272","2081695","2135479","2187853","2243126","2296752","2350124","2404831","2458526","2513546","2566266","2617832","2671997","2726056","2784278","2843960","2904429","2964762","3022635","3083605","3142336","3227943","3286542","3266790","3247039","3227287","3207536","3187784","3168033","3148281","3128530","3108778","3089027","3060173","3051010","3039616","3026939","3011487","2992547","2970017","2947314","2927519","2913021","2905195","2900401","2895092","2889104","2880703","2876101","2873457","2866376","2854191","2837849","2811666","2777689","2745972",
"Andorra","AND","Population, total","SP.POP.TOTL","9443","10216","11014","11839","12690","13563","14546","15745","17079","18449","19860","21322","22832","24393","26003","27640","29294","30949","32574","34142","35611","36987","38598","40432","42181","43809","45605","47635","49654","51639","53569","55434","57283","59156","61037","62928","64147","64682","65186","65655","66097","67820","70849","73907","76933","79826","80221","78168","76055","73852","71519","70567","71013","71367","71621","71746","72540","73837","75013","76343","77700","79034","79824","80088",
"Arab World","ARB","Population, total","SP.POP.TOTL","93359407","95760348","98268683","100892507","103618568","106444103","109394536","112499764","115729597","119061868","122475578","125979765","129605560","133384981","137372356","141756318","146815543","151960544","156741680","162014425","167707208","173118753","178587926","184342569","190162096","195956917","201916517","207894127","213455083","219021375","225923327","230837072","236598334","242994250","249596194","255803349","261953764","268158920","274376380","280650496","287065982","293512340","300018650","306573087","313249616","320558754","328703057","337498222","346630443","355754908","364427661","372351065","380383408","389131555","397922915","406501999","415077960","423664839","432545676","441467739","449228296","456520777","464684914","473272080",
"United Arab Emirates","ARE","Population, total","SP.POP.TOTL","133426","140984","148877","157006","165305","173797","182509","191404","213582","253261","298084","344513","392368","441546","491955","543394","614177","706861","805231","908452","1014048","1100180","1167856","1237572","1308331","1379536","1468697","1575909","1683681","1791840","1900151","2008383","2116231","2223284","2329024","2433988","2572735","2746119","2921130","3097563","3275333","3454198","3633655","3813443","3993339","4280993","4898954","5872624","6988685","7992644","8481771","8575205","8664969","8751847","8835951","8916899","8994263","9068296","9140169","9211657","9287289","9365145","9441129","9516871",
"Argentina","ARG","Population, total","SP.POP.TOTL","20349744","20680653","21020359","21364017","21708487","22053661","22403116","22757014","23112971","23472028","23842803","24223379","24612794","25020588","25449754","25875558","26290257","26713780","27146121","27584134","28024803","28471285","28922762","29377137","29832197","30287112","30748326","31216453","31690792","32165766","32637657","33105763","33568285","34027240","34488696","34946110","35389362","35815971","36233195","36653031","37070774","37480493","37885028","38278164","38668796","39070501","39476851","39876111","40273769","40684338","40788453","41261490","41733271","42202935","42669500","43131966","43590368","44044811","44494502","44938712","45376763","45808747","46234830","46654581",
"Armenia","ARM","Population, total","SP.POP.TOTL","1904148","1971530","2039346","2106142","2171029","2234051","2295496","2355997","2416461","2476359","2534377","2590923","2648048","2706852","2767646","2830798","2896311","2965523","3038224","3097058","3135123","3167876","3202011","3238291","3272102","3300896","3327182","3351364","3366838","3448186","3556539","3617631","3574555","3457349","3373713","3322782","3298898","3271418","3240550","3206030","3168523","3133133","3105037","3084102","3065745","3047246","3026486","3004393","2983421","2964296","2946293","2928976","2914421","2901385","2889930","2878595","2865835","2851923","2836557","2820602","2805608","2790974","2780469","2777970",
"American Samoa","ASM","Population, total","SP.POP.TOTL","20085","20626","21272","21949","22656","23391","24122","24848","25608","26396","27075","27593","28063","28529","29012","29573","30198","30816","31428","32045","32886","34059","35367","36735","38168","39663","41221","42842","44532","46288","47818","48992","50078","51174","52288","53401","54500","55578","56603","57594","58230","58324","58177","57941","57626","57254","56837","56383","55891","55366","54849","54310","53691","52995","52217","51368","50448","49463","48424","47321","46189","45035","44273","43914",
"Antigua and Barbuda","ATG","Population, total","SP.POP.TOTL","55342","56245","57008","57778","58664","59644","60615","61617","62658","63742","64517","64769","64695","64463","64218","64035","63990","64117","64329","64609","64889","65076","65231","65408","65362","65048","64712","64353","63982","63636","63328","63634","64659","65834","67072","68398","69798","71218","72572","73821","75055","76215","77195","78075","78941","79869","80895","82016","83251","84534","85695","86729","87674","88497","89236","89941","90564","91119","91626","92117","92664","93219","93763","94298",
"Australia","AUS","Population, total","SP.POP.TOTL","10276477","10483000","10742000","10950000","11167000","11388000","11651000","11799000","12009000","12263000","12507000","12937000","13177000","13380000","13723000","13893000","14033000","14192000","14358000","14514000","14692000","14923260","15184247","15393472","15579391","15788312","16018350","16263874","16532164","16814416","17065128","17284036","17478635","17634808","17805468","18004882","18224767","18423037","18607584","18812264","19028802","19274701","19495210","19720737","19932722","20176844","20450966","20827622","21249199","21691653","22031750","22340024","22733465","23128129","23475686","23815995","24190907","24592588","24963258","25334826","25649248","25685412","26014399","26638544",
"Austria","AUT","Population, total","SP.POP.TOTL","7047539","7086299","7129864","7175811","7223801","7270889","7322066","7376998","7415403","7441055","7467086","7500482","7544201","7586115","7599038","7578903","7565525","7568430","7562305","7549425","7549433","7568710","7574140","7561910","7561434","7564985","7569794","7574586","7585317","7619567","7677850","7754891","7840709","7905633","7936118","7948278","7959017","7968041","7976789","7992324","8011566","8042293","8081957","8121423","8171966","8227829","8268641","8295487","8321496","8343323","8363404","8391643","8429991","8479823","8546356","8642699","8736668","8797566","8840521","8879920","8916864","8955797","9041851","9132383",
